iter	Passed	Remaining
1338	2458	1029
1339	2460	1028
1340	2465	1027
1341	2467	1025
1342	2469	1024
1343	2471	1022
1344	2473	1020
1345	2474	1018
1346	2475	1016
1347	2477	1014
1348	2479	1012
1349	2480	1010
1350	2482	1008
1351	2484	1006
1352	2486	1005
1353	2488	1003
1354	2489	1001
1355	2491	999
1356	2494	998
1357	2496	996
1358	2498	994
1359	2499	992
1360	2501	990
1361	2503	988
1362	2505	987
1363	2506	985
1364	2508	983
1365	2510	981
1366	2512	979
1367	2514	977
1368	2515	975
1369	2516	973
1370	2518	971
1371	2520	969
1372	2522	968
1373	2523	966
1374	2525	964
1375	2527	962
1376	2529	960
1377	2530	958
1378	2532	956
1379	2533	954
1380	2535	952
1381	2537	950
1382	2538	949
1383	2540	947
1384	2541	945
1385	2543	943
1386	2545	941
1387	2547	939
1388	2548	937
1389	2550	935
1390	2552	933
1391	2553	931
1392	2555	930
1393	2556	928
1394	2558	926
1395	2560	924
1396	2562	922
1397	2564	920
1398	2566	918
1399	2568	917
1400	2569	915
1401	2570	913
1402	2572	911
1403	2575	909
1404	2577	908
1405	2579	906
1406	2581	904
1407	2583	902
1408	2585	900
1409	2586	898
1410	2588	897
1411	2591	895
1412	2593	893
1413	2595	891
1414	2596	890
1415	2598	888
1416	2600	886
1417	2601	884
1418	2602	882
1419	2604	880
1420	2606	878
1421	2608	876
1422	2609	874
1423	2611	872
1424	2613	871
1425	2614	869
1426	2616	867
1427	2617	865
1428	2619	863
1429	2620	861
1430	2624	860
1431	2626	858
1432	2628	856
1433	2629	854
1434	2631	852
1435	2633	850
1436	2634	848
1437	2638	847
1438	2642	846
1439	2645	845
1440	2648	843
1441	2651	842
1442	2653	840
1443	2655	838
1444	2658	836
1445	2659	835
1446	2662	833
1447	2665	832
1448	2668	830
1449	2670	828
1450	2672	827
1451	2674	825
1452	2677	823
1453	2680	822
1454	2682	820
1455	2684	818
1456	2686	816
1457	2688	815
1458	2690	813
1459	2692	811
1460	2694	809
1461	2697	808
1462	2699	806
1463	2701	804
1464	2705	803
1465	2708	801
1466	2711	800
1467	2713	798
1468	2716	796
1469	2718	795
1470	2721	793
1471	2723	791
1472	2725	790
1473	2727	788
1474	2729	786
1475	2731	784
1476	2733	782
1477	2735	781
1478	2738	779
1479	2739	777
1480	2741	775
1481	2743	773
1482	2745	771
1483	2747	770
1484	2749	768
1485	2750	766
1486	2753	764
1487	2755	762
1488	2757	761
1489	2759	759
1490	2761	757
1491	2762	755
1492	2764	753
1493	2766	751
1494	2767	749
1495	2769	747
1496	2771	746
1497	2773	744
1498	2774	742
1499	2777	740
1500	2778	738
1501	2780	736
1502	2781	734
1503	2783	732
1504	2785	731
1505	2786	729
1506	2788	727
1507	2791	725
1508	2793	723
1509	2794	721
1510	2796	719
1511	2798	718
1512	2799	716
1513	2801	714
1514	2803	712
1515	2805	710
1516	2807	708
1517	2810	707
1518	2812	705
1519	2813	703
1520	2815	701
1521	2817	699
1522	2821	698
1523	2823	696
1524	2824	694
1525	2826	692
1526	2828	690
1527	2830	689
1528	2832	687
1529	2833	685
1530	2835	683
1531	2837	681
1532	2839	679
1533	2842	678
1534	2844	676
1535	2846	674
1536	2847	672
1537	2850	670
1538	2852	669
1539	2854	667
1540	2857	665
1541	2859	663
1542	2861	661
1543	2863	660
1544	2865	658
1545	2867	656
1546	2869	654
1547	2871	652
1548	2874	651
1549	2876	649
1550	2878	647
1551	2880	645
1552	2883	644
1553	2884	642
1554	2886	640
1555	2888	638
1556	2891	636
1557	2892	634
1558	2894	633
1559	2897	631
1560	2899	629
1561	2901	627
1562	2902	625
1563	2904	623
1564	2905	622
1565	2907	620
1566	2909	618
1567	2911	616
1568	2912	614
1569	2914	612
1570	2916	610
1571	2918	608
1572	2921	607
1573	2923	605
1574	2925	603
1575	2928	602
1576	2930	600
1577	2931	598
1578	2933	596
1579	2936	594
1580	2937	592
1581	2939	590
1582	2941	589
1583	2943	587
1584	2945	585
1585	2947	583
1586	2950	581
1587	2951	579
1588	2953	578
1589	2955	576
1590	2957	574
1591	2959	572
1592	2961	570
1593	2963	568
1594	2966	567
1595	2967	565
1596	2970	563
1597	2972	561
1598	2974	559
1599	2976	558
1600	2979	556
1601	2981	554
1602	2982	552
1603	2984	550
1604	2985	548
1605	2987	546
1606	2990	545
1607	2992	543
1608	2994	541
1609	2997	539
1610	2999	537
1611	3001	536
1612	3004	534
1613	3006	532
1614	3007	530
1615	3010	529
1616	3012	527
1617	3014	525
1618	3017	523
1619	3018	521
1620	3020	519
1621	3022	518
1622	3024	516
1623	3026	514
1624	3028	512
1625	3029	510
1626	3032	508
1627	3034	507
1628	3036	505
1629	3038	503
1630	3040	501
1631	3042	499
1632	3044	497
1633	3046	495
1634	3048	494
1635	3050	492
1636	3051	490
1637	3053	488
1638	3056	486
1639	3057	484
1640	3059	482
1641	3061	481
1642	3063	479
1643	3065	477
1644	3066	475
1645	3068	473
1646	3070	471
1647	3072	469
1648	3074	467
1649	3075	466
1650	3077	464
1651	3079	462
1652	3081	460
1653	3082	458
1654	3084	456
1655	3085	454
1656	3087	452
1657	3089	450
1658	3091	449
1659	3093	447
1660	3095	445
1661	3096	443
1662	3099	441
1663	3100	439
1664	3102	437
1665	3105	436
1666	3107	434
1667	3109	432
1668	3111	430
1669	3113	428
1670	3116	427
1671	3117	425
1672	3120	423
1673	3122	421
1674	3124	419
1675	3126	417
1676	3129	416
1677	3131	414
1678	3133	412
1679	3137	410
1680	3138	408
1681	3140	407
1682	3142	405
1683	3144	403
1684	3146	401
1685	3147	399
1686	3150	397
1687	3152	395
1688	3154	394
1689	3156	392
1690	3158	390
1691	3160	388
1692	3161	386
1693	3163	384
1694	3165	382
1695	3167	380
1696	3168	379
1697	3170	377
1698	3171	375
1699	3174	373
1700	3175	371
1701	3177	369
1702	3180	367
1703	3182	366
1704	3184	364
1705	3185	362
1706	3187	360
1707	3189	358
1708	3191	356
1709	3192	354
1710	3196	353
1711	3198	351
1712	3200	349
1713	3202	347
1714	3204	345
1715	3205	343
1716	3207	341
1717	3211	340
1718	3213	338
1719	3217	336
1720	3218	334
1721	3220	332
1722	3222	331
1723	3224	329
1724	3228	327
1725	3231	325
1726	3233	323
1727	3234	321
1728	3236	320
1729	3237	318
1730	3239	316
1731	3240	314
1732	3243	312
1733	3245	310
1734	3247	308
1735	3248	306
1736	3250	304
1737	3252	303
1738	3253	301
1739	3255	299
1740	3257	297
1741	3260	295
1742	3262	293
1743	3263	291
1744	3264	290
1745	3266	288
1746	3268	286
1747	3270	284
1748	3271	282
1749	3275	280
1750	3277	278
1751	3279	277
1752	3281	275
1753	3283	273
1754	3286	271
1755	3287	269
1756	3289	267
1757	3291	265
1758	3293	264
1759	3294	262
1760	3296	260
1761	3298	258
1762	3300	256
1763	3302	254
1764	3303	252
1765	3305	250
1766	3306	248
1767	3308	247
